cluster,num_seqs,num_trbj,num_trbv,num_pathology,num_epitope
0,11,6,3,6,6
1,179,8,1,5,19
2,34,4,1,7,12
3,76,14,4,7,17
4,3,2,2,3,3
5,310,14,2,6,16
6,21,6,4,4,9
7,79,6,3,6,13
8,29,5,2,6,11
9,67,8,3,6,16
10,52,5,1,5,10
11,11,3,3,4,6
12,19,7,1,3,6
13,182,9,2,5,20
14,14,4,3,8,10
15,167,13,4,7,19
16,29,5,2,6,10
17,8,4,4,4,5
18,92,18,8,8,25
19,42,12,2,5,13
20,5,4,3,4,4
21,4,4,1,3,4
22,110,9,2,6,19
23,26,1,2,4,9
24,60,4,1,3,11
25,52,3,1,5,12
26,30,4,4,6,11
27,66,10,3,7,17
28,129,8,2,6,18
29,59,4,2,5,9
30,13,5,3,5,8
31,38,11,4,6,11
32,173,12,2,7,22
33,14,3,3,6,7
34,193,10,2,6,20
35,66,4,2,4,10
36,28,7,1,6,8
37,34,3,2,5,12
38,9,4,1,2,5
39,101,8,2,7,15
40,118,10,2,8,18
41,21,3,3,7,9
42,589,15,3,6,25
43,63,12,1,5,14
44,69,7,3,8,18
45,55,3,1,5,9
46,99,8,2,7,18
47,36,10,3,7,16
48,22,4,2,5,10
49,133,16,2,9,19
50,149,14,2,9,21
51,36,11,3,7,17
52,2,2,1,2,2
53,26,7,4,8,14
54,117,11,1,7,13
55,18,10,4,6,9
56,26,3,2,5,7
57,205,17,2,8,19
58,35,9,2,7,19
59,199,3,1,4,15
60,18,7,3,9,13
61,13,8,3,4,7
62,220,8,3,8,24
63,38,4,1,5,8
64,73,8,1,6,13
65,253,14,3,9,24
66,36,5,3,8,18
68,301,15,3,7,17
69,132,7,1,7,15
70,38,3,3,6,12
71,7,3,1,3,3
72,40,7,1,5,9
73,237,9,2,6,21
74,66,10,1,5,15
75,15,2,3,5,7
76,117,11,3,6,12
77,131,6,1,4,8
78,95,9,3,7,20
79,14,5,1,4,5
80,301,16,3,7,32
81,16,2,2,4,6
82,39,10,3,10,17
83,76,11,1,8,20
84,54,8,4,7,14
85,32,5,2,6,11
86,11,4,2,4,4
87,156,14,2,9,21
88,54,10,4,7,12
89,62,8,2,8,17
90,133,15,1,8,20
91,11,4,1,4,5
92,24,3,2,6,11
93,47,8,1,7,18
94,66,6,2,6,14
95,58,13,5,6,14
